trial,choice_arm_index,choice_planet_label,is_optimal,exploration,intent,intent_reason,explanation,context_mercury,context_krypton,context_nobelium,reward_received,w_intercept_arm_0,w_mercury_arm_0,w_krypton_arm_0,w_nobelium_arm_0,w_intercept_arm_1,w_mercury_arm_1,w_krypton_arm_1,w_nobelium_arm_1,w_intercept_arm_2,w_mercury_arm_2,w_krypton_arm_2,w_nobelium_arm_2,w_intercept_arm_3,w_mercury_arm_3,w_krypton_arm_3,w_nobelium_arm_3,feature_uncertainty_mercury_arm_0,feature_uncertainty_krypton_arm_0,feature_uncertainty_nobelium_arm_0,feature_uncertainty_mercury_arm_1,feature_uncertainty_krypton_arm_1,feature_uncertainty_nobelium_arm_1,feature_uncertainty_mercury_arm_2,feature_uncertainty_krypton_arm_2,feature_uncertainty_nobelium_arm_2,feature_uncertainty_mercury_arm_3,feature_uncertainty_krypton_arm_3,feature_uncertainty_nobelium_arm_3,mapping_arm_0,mapping_arm_1,mapping_arm_2,mapping_arm_3,agent_mu_arm_0,agent_sigma_arm_0,agent_mu_arm_1,agent_sigma_arm_1,agent_mu_arm_2,agent_sigma_arm_2,agent_mu_arm_3,agent_sigma_arm_3,simulation_id,agent_name,reg,k
11,0,D,0,0,exploit,estimated effects favor this planet,"Exploit Planet 1 because estimated effects favor this planet: Mercury on (-4.0), Krypton off (-5.5), Nobelium on (+4.0).",1,-1,1,59,44.01288223812623,0.7871177618738017,3.42290175666884,5.240728692257645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20845921450151061,0.16012084592145015,0.12057127162867345,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,D,C,B,A,32.86514693765449,1.0538898794729359,0.0,2.0,0.0,2.0,0.0,2.0,0,"UCB(reg=1, k=0.0)",1,0.0
12,0,D,0,0,exploit,estimated effects favor this planet,"Exploit Planet 1 because estimated effects favor this planet: Mercury on (+0.8), Krypton on (+3.4), Nobelium off (-5.2).",1,1,-1,46,44.37232500639442,1.2186034615056833,3.5785659476511213,5.146815585301392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.138711776187378,0.14703968770331816,0.11581001951854263,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,D,C,B,A,42.98217306441123,0.7254101659843677,0.0,2.0,0.0,2.0,0.0,2.0,0,"UCB(reg=1, k=0.0)",1,0.0
13,0,D,0,0,exploit,estimated effects favor this planet,"Exploit Planet 1 because estimated effects favor this planet: Mercury off (-1.2), Krypton on (+3.6), Nobelium on (+5.1).",-1,1,1,54,44.39154594165511,1.2016273070053742,3.7942051994443373,5.370311569755906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10751129678574473,0.1429789410861966,0.11433199761275473,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,D,C,B,A,51.87910307784125,0.5374538864161952,0.0,2.0,0.0,2.0,0.0,2.0,0,"UCB(reg=1, k=0.0)",1,0.0
14,0,D,0,0,exploit,estimated effects favor this planet,"Exploit Planet 1 because estimated effects favor this planet: Mercury on (+1.2), Krypton on (+3.8), Nobelium off (-5.4).",1,1,-1,48,44.74440454523096,1.625018446554197,3.9480053126076005,5.279207044124161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10742872263015148,0.1296553548984587,0.10001984520738243,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,D,C,B,A,44.01706687834891,0.5871774884341706,0.0,2.0,0.0,2.0,0.0,2.0,0,"UCB(reg=1, k=0.0)",1,0.0
15,0,D,0,0,exploit,estimated effects favor this planet,"Exploit Planet 1 because estimated effects favor this planet: Mercury on (+1.6), Krypton off (-3.9), Nobelium off (-5.3).",1,-1,-1,53,46.74567584881487,2.147951557304552,1.8170891675055714,3.9106799670540884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09223277091839244,0.12765015495105514,0.09931624772492499,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,D,C,B,A,37.142210635053395,0.7826391125674967,0.0,2.0,0.0,2.0,0.0,2.0,0,"UCB(reg=1, k=0.0)",1,0.0
16,0,D,0,0,exploit,estimated effects favor this planet,"Exploit Planet 1 because estimated effects favor this planet: Mercury off (-2.1), Krypton off (-1.8), Nobelium on (+3.9).",-1,-1,1,54,47.284210526315796,1.7622512657482758,1.1236547745201975,3.959731543624165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09047924102376376,0.09853268661724779,0.08730667154754279,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,D,C,B,A,46.69131509105883,0.5435209535954855,0.0,2.0,0.0,2.0,0.0,2.0,0,"UCB(reg=1, k=0.0)",1,0.0
17,0,D,0,0,exploit,estimated effects favor this planet,"Exploit Planet 1 because estimated effects favor this planet: Mercury off (-1.8), Krypton on (+1.1), Nobelium off (-4.0).",-1,1,-1,48,47.42452105770935,1.4118411467050045,1.1162259544389528,3.57207269290595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08687154126928058,0.08687154126928058,0.08724832214765102,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,D,C,B,A,42.68588249146355,0.4427417441039555,0.0,2.0,0.0,2.0,0.0,2.0,0,"UCB(reg=1, k=0.0)",1,0.0
18,0,D,0,0,exploit,estimated effects favor this planet,"Exploit Planet 1 because estimated effects favor this planet: Mercury off (-1.4), Krypton on (+1.1), Nobelium off (-3.6).",-1,1,-1,57,47.72948420821139,0.6502292219985542,1.1000795087374975,2.729501124964056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08167122802181574,0.08686920396148771,0.08088365590974425,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,D,C,B,A,43.556833172537345,0.4048379385903469,0.0,2.0,0.0,2.0,0.0,2.0,0,"UCB(reg=1, k=0.0)",1,0.0
19,0,D,0,0,exploit,estimated effects favor this planet,"Exploit Planet 1 because estimated effects favor this planet: Mercury on (+0.7), Krypton off (-1.1), Nobelium on (+2.7).",1,-1,1,45,47.273797642659524,0.2540268074838714,1.252523466023213,2.465429462966009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07793547950535415,0.08686752490991828,0.07631147124997886,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,D,C,B,A,50.00913504643651,0.5823052381013193,0.0,2.0,0.0,2.0,0.0,2.0,0,"UCB(reg=1, k=0.0)",1,0.0
20,0,D,0,0,exploit,estimated effects favor this planet,"Exploit Planet 1 because estimated effects favor this planet: Mercury off (-0.3), Krypton off (-1.3), Nobelium on (+2.5).",-1,-1,1,44,47.06137386801967,0.4631060188602838,1.5693328204115105,2.4545596323598264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06955796707808531,0.08562729764897607,0.07258991624240434,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,D,C,B,A,48.23267683211844,0.46375237004500774,0.0,2.0,0.0,2.0,0.0,2.0,0,"UCB(reg=1, k=0.0)",1,0.0
21,0,D,0,0,exploit,estimated effects favor this planet,"Exploit Planet 1 because estimated effects favor this planet: Mercury on (+0.5), Krypton on (+1.6), Nobelium off (-2.5).",1,1,-1,46,47.02645093029858,0.4179333006460162,1.5431859822972314,2.458689238127196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06659319408199124,0.07882014119212734,0.07258190287062934,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,D,C,B,A,46.639253074931645,0.45682585958092026,0.0,2.0,0.0,2.0,0.0,2.0,0,"UCB(reg=1, k=0.0)",1,0.0
22,0,D,0,0,exploit,estimated effects favor this planet,"Exploit Planet 1 because estimated effects favor this planet: Mercury on (+0.4), Krypton off (-1.5), Nobelium on (+2.5).",1,-1,1,39,46.41384842991395,-0.1650239975550889,1.7485570211081214,2.0575038375250987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06055757700876536,0.07679801811566153,0.07253146155368034,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,D,C,B,A,48.359887486774554,0.48830877472354894,0.0,2.0,0.0,2.0,0.0,2.0,0,"UCB(reg=1, k=0.0)",1,0.0
23,0,D,0,0,exploit,estimated effects favor this planet,"Exploit Planet 1 because estimated effects favor this planet: Mercury off (+0.2), Krypton off (-1.7), Nobelium on (+2.1).",-1,-1,1,58,46.879356648187084,-0.6339730725944221,1.082949747816091,2.0428801962687544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05575350933855652,0.07620178783521911,0.07025622859841776,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,D,C,B,A,46.887819243886014,0.40794618843207975,0.0,2.0,0.0,2.0,0.0,2.0,0,"UCB(reg=1, k=0.0)",1,0.0
24,0,D,0,0,exploit,estimated effects favor this planet,"Exploit Planet 1 because estimated effects favor this planet: Mercury off (+0.6), Krypton off (-1.1), Nobelium on (+2.0).",-1,-1,1,51,46.97198959836993,-0.7272907297295781,0.9504984548680762,2.0399701917214337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053676168471950114,0.07201681623028232,0.07025420852363741,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,D,C,B,A,48.473260169234166,0.3777246988826476,0.0,2.0,0.0,2.0,0.0,2.0,0,"UCB(reg=1, k=0.0)",1,0.0
25,0,D,0,0,exploit,estimated effects favor this planet,"Exploit Planet 1 because estimated effects favor this planet: Mercury off (+0.7), Krypton on (+1.0), Nobelium on (+2.0).",-1,1,1,53,47.010118826181156,-0.7259863886031752,1.1160688885484795,2.207562859706332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052117586363233666,0.06887692620366559,0.07025269290698463,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,D,C,B,A,50.68974897468901,0.4366802068562745,0.0,2.0,0.0,2.0,0.0,2.0,0,"UCB(reg=1, k=0.0)",1,0.0
26,0,D,0,0,exploit,estimated effects favor this planet,"Exploit Planet 1 because estimated effects favor this planet: Mercury off (+0.7), Krypton on (+1.1), Nobelium on (+2.2).",-1,1,1,50,46.99504294978441,-0.7265021107074396,1.0506041640730812,2.1412985660770314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05211720681882836,0.06276123159069523,0.06398669496903517,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,D,C,B,A,51.05973696303914,0.400188151910247,0.0,2.0,0.0,2.0,0.0,2.0,0,"UCB(reg=1, k=0.0)",1,0.0
27,0,D,0,0,exploit,estimated effects favor this planet,"Exploit Planet 1 because estimated effects favor this planet: Mercury off (+0.7), Krypton on (+1.1), Nobelium on (+2.1).",-1,1,1,52,47.00862534764925,-0.7260374781631427,1.109583682778144,2.2009984453158964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052116932061250114,0.05833399351886433,0.05945065018843581,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,D,C,B,A,50.91344779064196,0.3715412605445404,0.0,2.0,0.0,2.0,0.0,2.0,0,"UCB(reg=1, k=0.0)",1,0.0
28,0,D,0,0,exploit,estimated effects favor this planet,"Exploit Planet 1 because estimated effects favor this planet: Mercury on (-0.7), Krypton on (+1.1), Nobelium off (-2.2).",1,1,-1,38,46.674821747517335,-1.102421947560181,0.9095234693148493,2.282440522969214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05211672395904119,0.054980790203832675,0.05601503634778515,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,D,C,B,A,45.191173106948355,0.3999542518813661,0.0,2.0,0.0,2.0,0.0,2.0,0,"UCB(reg=1, k=0.0)",1,0.0
29,0,D,0,0,exploit,estimated effects favor this planet,"Exploit Planet 1 because estimated effects favor this planet: Mercury on (-1.1), Krypton off (-0.9), Nobelium off (-2.3).",1,-1,-1,55,47.41419640824849,-0.9162943939522741,0.09378283491323991,1.5569927875275118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04893905836965063,0.05408301778952632,0.05586625705508323,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,D,C,B,A,42.380435807673095,0.49290457383878605,0.0,2.0,0.0,2.0,0.0,2.0,0,"UCB(reg=1, k=0.0)",1,0.0
30,0,D,0,0,exploit,estimated effects favor this planet,"Exploit Planet 1 because estimated effects favor this planet: Mercury off (+0.9), Krypton on (+0.1), Nobelium off (-1.6).",-1,1,-1,54,47.57703107047845,-1.2098992989634887,0.07320025313500444,1.213720900226721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04866867000351771,0.048889389595370404,0.05175874428945535,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,D,C,B,A,46.8672808495865,0.35018299012586157,0.0,2.0,0.0,2.0,0.0,2.0,0,"UCB(reg=1, k=0.0)",1,0.0
31,0,D,0,0,exploit,estimated effects favor this planet,"Exploit Planet 1 because estimated effects favor this planet: Mercury on (-1.2), Krypton off (-0.1), Nobelium on (+1.2).",1,-1,1,46,47.50962359529877,-1.2863688089255518,0.0912159378030113,1.1587380351629069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04676648705550333,0.048880041451880796,0.04915857187620961,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,D,C,B,A,47.507652418606675,0.40990167411307893,0.0,2.0,0.0,2.0,0.0,2.0,0,"UCB(reg=1, k=0.0)",1,0.0
32,0,D,0,0,exploit,estimated effects favor this planet,"Exploit Planet 1 because estimated effects favor this planet: Mercury off (+1.3), Krypton on (+0.1), Nobelium off (-1.2).",-1,1,-1,47,47.4927113841314,-1.2613753308141895,0.09361744637598868,1.1889157222572022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04376162730551605,0.04871325946798009,0.04760510382822185,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,D,C,B,A,47.72847030686443,0.3252272350996992,0.0,2.0,0.0,2.0,0.0,2.0,0,"UCB(reg=1, k=0.0)",1,0.0
33,0,D,0,0,exploit,estimated effects favor this planet,"Exploit Planet 1 because estimated effects favor this planet: Mercury on (-1.3), Krypton on (+0.1), Nobelium off (-1.2).",1,1,-1,55,47.82283405361724,-0.8189058711921504,0.3906904184673765,1.1372755700783612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04245997326529673,0.04870124206957683,0.04570746272443434,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,D,C,B,A,45.136037777435995,0.3581295929930754,0.0,2.0,0.0,2.0,0.0,2.0,0,"UCB(reg=1, k=0.0)",1,0.0
34,0,D,0,0,exploit,estimated effects favor this planet,"Exploit Planet 1 because estimated effects favor this planet: Mercury on (-0.8), Krypton off (-0.4), Nobelium on (+1.1).",1,-1,1,55,48.10509828017407,-0.5218294140944426,0.304205239059379,1.356641484338473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040189733319279004,0.047677874986824076,0.04567653982642915,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,D,C,B,A,47.75051333403607,0.3729439259720806,0.0,2.0,0.0,2.0,0.0,2.0,0,"UCB(reg=1, k=0.0)",1,0.0
35,0,D,0,0,exploit,estimated effects favor this planet,"Exploit Planet 1 because estimated effects favor this planet: Mercury off (+0.5), Krypton on (+0.3), Nobelium off (-1.4).",-1,1,-1,51,48.181186313418436,-0.6267081411562678,0.28943473130966524,1.232006864743116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038276892098473875,0.047515759004748984,0.044633548388688805,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,D,C,B,A,47.57449144898941,0.3045957273874064,0.0,2.0,0.0,2.0,0.0,2.0,0,"UCB(reg=1, k=0.0)",1,0.0
36,0,D,0,0,exploit,estimated effects favor this planet,"Exploit Planet 1 because estimated effects favor this planet: Mercury off (+0.6), Krypton off (-0.3), Nobelium on (+1.2).",-1,-1,1,48,48.13247669084741,-0.5717427917722375,0.3637721948973436,1.2353784808724226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03725252205919711,0.04749544138152955,0.043186911825310356,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,D,C,B,A,49.75046658800815,0.3329038219908006,0.0,2.0,0.0,2.0,0.0,2.0,0,"UCB(reg=1, k=0.0)",1,0.0
37,0,D,0,0,exploit,estimated effects favor this planet,"Exploit Planet 1 because estimated effects favor this planet: Mercury off (+0.6), Krypton on (+0.4), Nobelium off (-1.2).",-1,1,-1,47,48.1158671738884,-0.5487376158516959,0.3664058392354521,1.26328106475325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036157265249161186,0.04549210695630696,0.043182790715166376,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,D,C,B,A,47.83261319664457,0.2907123254525887,0.0,2.0,0.0,2.0,0.0,2.0,0,"UCB(reg=1, k=0.0)",1,0.0
38,0,D,0,0,exploit,estimated effects favor this planet,"Exploit Planet 1 because estimated effects favor this planet: Mercury off (+0.5), Krypton off (-0.4), Nobelium on (+1.3).",-1,-1,1,39,47.85214010435626,-0.2520592926245513,0.7737859699581477,1.2757683294731867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035329323919927935,0.04548125613291233,0.041964818756332074,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,D,C,B,A,49.56148001525789,0.3153509134311489,0.0,2.0,0.0,2.0,0.0,2.0,0,"UCB(reg=1, k=0.0)",1,0.0
39,0,D,0,0,exploit,estimated effects favor this planet,"Exploit Planet 1 because estimated effects favor this planet: Mercury on (-0.3), Krypton off (-0.8), Nobelium on (+1.3).",1,-1,1,53,48.02181115131683,-0.07284006352449879,0.7340480222687136,1.3959923642255285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034461770851003784,0.043845479103603535,0.04196328180875069,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,D,C,B,A,48.10206317124675,0.3404935415716106,0.0,2.0,0.0,2.0,0.0,2.0,0,"UCB(reg=1, k=0.0)",1,0.0
40,0,D,0,0,exploit,estimated effects favor this planet,"Exploit Planet 1 because estimated effects favor this planet: Mercury on (-0.1), Krypton off (-0.7), Nobelium off (-1.4).",1,-1,-1,52,48.246904825125974,-0.01993686019405061,0.41638281589964343,1.089618336248503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03296766254093457,0.04377202370176174,0.0412909317157347,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,D,C,B,A,45.818930701298086,0.4133660129275289,0.0,2.0,0.0,2.0,0.0,2.0,0,"UCB(reg=1, k=0.0)",1,0.0
41,0,D,0,0,exploit,estimated effects favor this planet,"Exploit Planet 1 because estimated effects favor this planet: Mercury off (+0.0), Krypton on (+0.4), Nobelium off (-1.1).",-1,1,-1,50,48.29108547657134,-0.07809557085376895,0.4135962541786533,1.0201849253620017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032881890462418496,0.04067944120162657,0.03841428924659559,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,D,C,B,A,47.59360616497116,0.27482300102482166,0.0,2.0,0.0,2.0,0.0,2.0,0,"UCB(reg=1, k=0.0)",1,0.0
